time_s,position_cm,theta_raw_cm
0.877,25.55,1.55
0.878,25.6125,1.5375
0.879,25.6875,1.5375
0.88,25.7625,1.5375
0.881,25.825,1.525
0.882,25.8875,1.5125
0.883,25.9625,1.5125
0.884,26.025,1.5125
0.885,26.0875,1.5125
0.886,26.1625,1.5125
0.887,26.225,1.5125
0.888,26.275,1.5
0.889,26.3375,1.5
0.89,26.4,1.4875
0.891,26.4625,1.4875
0.892,26.5125,1.475
0.893,26.575,1.4875
0.894,26.625,1.4625
0.895,26.6875,1.4625
0.896,26.7375,1.4625
0.897,26.7875,1.4625
0.898,26.85,1.4625
0.899,26.9,1.4625
0.9,26.9375,1.45
0.901,26.9875,1.4375
0.902,27.0375,1.4375
0.903,27.0875,1.4375
0.904,27.1375,1.45
0.905,27.175,1.45
0.906,27.225,1.4375
0.907,27.2625,1.4375
0.908,27.3125,1.4375
0.909,27.35,1.4375
0.91,27.3875,0.0375
0.911,27.425,0.0375
0.912,27.4625,1.425
0.913,27.5,0.0375
0.914,27.5375,1.4375
0.915,27.575,0.0375
0.916,27.6,0.0375
0.917,27.6375,0.0375
0.918,27.6625,0.0375
0.919,27.6875,0.025
0.92,27.725,0.0375
0.921,27.75,0.0375
0.922,27.775,0.0375
0.923,27.8,0.0375
0.924,27.825,0.0375
0.925,27.85,0.0375
0.926,27.8625,0.0375
0.927,27.8875,0.0375
0.928,27.9,0.025
0.929,27.925,0.0375
0.93,27.9375,0.0375
0.931,27.95,0.025
0.932,27.975,0.0375
0.933,27.9875,0.0375
0.934,27.9875,0.025
0.935,28.0,0.0375
0.936,28.0125,0.0375
0.937,28.025,1.4375
0.938,28.025,1.425
0.939,28.0375,1.4375
0.94,28.0375,1.425
0.941,28.0375,0.0375
0.942,28.0375,1.425
0.943,28.05,1.4375
0.944,28.0375,1.425
0.945,28.0375,1.425
0.946,28.0375,1.4375
0.947,28.0375,1.4375
0.948,28.025,1.4375
0.949,28.025,1.4375
0.95,28.0125,1.425
0.951,28.0125,1.4375
0.952,28.0,1.4375
0.953,27.9875,1.4375
0.954,27.975,1.4375
0.955,27.9625,1.45
0.956,27.95,1.45
0.957,27.925,1.4375
0.958,27.9125,1.45
0.959,27.9,1.45
0.96,27.875,1.45
0.961,27.85,1.4375
0.962,27.8375,1.45
0.963,27.8125,1.4625
